noc,job,workers,minEduc,yearsStudy,automationRisk,totalSkill,industry,cluster,sector,wage,skillsComp,skillsLogi,skillsMath,skillsLang,s1 Data Analysis,s2 Decision Making,s3 Finding Information,s4 Job Task Planning and Organizing,s5 Measurement and Calculation,s6 Money Math,s7 Numerical Estimation,s8 Oral Communication,s9 Problem Solving,s10 Reading,s11 Scheduling or Budgeting and Accounting,s12 Digital Technology,s13 Document Use,s14 Writing,s15 Critical Thinking,f1 Science & Agriculture,f2 Engineering,f3 Humanities,f4 Social Science,f5 Fine Arts,f6 Math And Computer Science,f7 Arts & Education,f8 Education   (teacher training)                      ,f9 Law,f10 Health,"f11 Health, Nursing & Clinical Laboratory",f12 Business,"f13 Medical, Dental & Veterinary",d1 Agriculture & Biological Science                    ,d2 Forestry                                            ,d3 Architecture & Landscape Architecture               ,d4 Humanities                                          ,d5 Social Sciences                                     ,d6 Fine & Applied Arts                                 ,d7 Computer Science                                    ,d8 Other Arts & Science                                ,d9 Education   (teacher training)                      ,d10 Engineering                                         ,d11 Law                                                 ,d12 Mathematics                                         ,d13 Kinesiology / Recreation / Physical Education       ,d14 Theology                                            ,d15 Physical Sciences                                   ,d16 Therapy & Rehabilitation                            ,"d17 Health, Nursing & Clinical Laboratory",d18 Business & Commerce                                 ,"d19 Medical, Dental & Veterinary"
1222,Executive assistants,7895,2,3.029761905,0.86,117,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,26.44,31,23,15,48,3,4,3,3,1,5,2,10,6,22,7,17,11,16,7,45,15,235,1260,470,90,465,180,480,95,430,4130,0,45,0,15,235,1260,470,60,465,180,0,480,30,15,0,0,80,430,4130,0
1223,Human resources and recruitment officers,6950,2,3.481203008,0.31,123,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,30.77,26,27,17,53,5,8,2,2,3,3,5,17,4,23,6,13,8,13,11,25,0,170,1415,185,0,500,205,225,110,25,4090,0,25,0,0,170,1415,185,0,500,205,0,225,0,75,0,0,35,25,4090,0
1224,Architecture and science managers,9740,1,3.481105991,0.4135,136.5,Management occupations,1,Specialized middle management occupations,30.29,35,31.5,23.5,47,4.5,7,6.5,3,8,3.5,3.5,15,7.5,18.5,9,17,13.5,13.5,7.5,285,710,205,970,235,90,1080,395,400,135,345,4040,0,0,0,115,180,970,235,70,1080,395,595,400,20,85,25,285,50,345,4040,0
1226,Conference and event planners,4305,2,3.303571429,0.037,153,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,21.68,28,42,10,73,3,15,8,4,1,2,4,28,15,16,3,18,7,29,0,20,0,105,820,520,0,405,60,100,265,35,1975,0,20,0,0,105,820,520,0,405,60,0,100,0,265,0,0,0,35,1975,0
1227,Court officers and justices of the peace,420,0,2.833333333,0.64,134,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,26.52,36,34,19,45,5,9,6,3,7,3,4,14,9,18,5,14,17,12,6,0,0,0,20,0,0,0,15,345,0,0,40,0,0,0,0,0,20,0,0,0,15,0,345,0,0,0,0,0,0,40,0
1228,"Employment insurance, immigration, border services and revenue officers                                              ",6835,2,3.306122449,0.418,149,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,33.85,33,35,21,60,2,5,5,3,4,3,2,21,7,26,12,15,16,13,15,75,20,170,1595,145,125,335,145,1125,75,170,2855,0,75,0,0,170,1595,145,110,335,145,20,1125,15,35,0,0,40,170,2855,0
1242,Legal administrative assistants,10350,2,2.798076923,0.94,112,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,27,27,24,20,41,0,1,6,4,0,7,4,11,6,17,9,15,12,13,7,0,0,130,380,225,35,375,35,7355,35,265,1515,0,0,0,0,130,380,225,35,375,35,0,7355,0,0,0,0,35,265,1515,0
1243,Medical administrative assistants,3465,2,1.98,0.3,141,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,22,45,35,17,44,6,8,8,2,0,4,1,10,10,24,12,28,11,10,7,0,0,60,25,30,15,55,0,110,0,2765,405,0,0,0,0,60,25,30,15,55,0,0,110,0,0,0,0,0,2765,405,0
1251,"Court reporters, medical transcriptionists and related occupations                                                   ",1870,0,2.16,0.695,129,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,21,35,33,19,43,4,9,6,3,7,3,4,14,9,18,5,14,17,11,6,0,0,15,50,0,0,10,0,275,0,1355,165,0,0,0,0,15,50,0,0,10,0,0,275,0,0,0,0,0,1355,165,0
1252,Health information management occupations,650,0,2,0.91,120,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,21.33,33,30,18,39,4,9,6,3,7,3,4,13,8,17,4,12,18,10,5,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0
1253,Records management technicians,310,0,2.909090909,0.95,119,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,22,33,30,18,38,3,9,6,3,7,3,4,13,8,17,4,11,18,9,5,0,0,0,65,0,0,45,0,10,0,25,165,0,0,0,0,0,65,0,0,45,0,0,10,0,0,0,0,0,25,165,0
